iter	MAE	RMSE
71	0.4487770991	0.5723441349
72	0.4482016666	0.5717763095
73	0.447748571	0.5713204322
74	0.4472201075	0.5708003914
75	0.4468580696	0.5704058916
76	0.4465234448	0.5700276054
77	0.445992135	0.5695050355
78	0.4456180132	0.5690981804
79	0.4452014445	0.5686714254
80	0.4448870658	0.5683438093
81	0.4445914793	0.5680318932
82	0.4442485531	0.5676999385
83	0.4439069138	0.5673459994
84	0.4436167168	0.5670047947
85	0.4431421341	0.5665520138
86	0.4428459934	0.5662404357
87	0.4425612599	0.5659300974
88	0.4421298703	0.5654455324
89	0.441809323	0.5650955096
90	0.441557622	0.5648258438
91	0.4412410081	0.5645178652
92	0.4410273529	0.5642808482
93	0.440780305	0.5640106124
94	0.4404716503	0.5636881187
95	0.4402510432	0.5634448375
96	0.4400412511	0.563204519
97	0.4397061463	0.5628927397
98	0.4394242933	0.5624793981
99	0.4391516234	0.5622260244
100	0.4389562981	0.5620090983
101	0.4387731631	0.5617992652
102	0.4385297709	0.5615489303
103	0.4383460287	0.5613464453
104	0.4381223068	0.5611098248
105	0.4379405653	0.5609143905
106	0.4377355044	0.5606667002
107	0.4374987982	0.5604416227
108	0.4373175823	0.560224951
109	0.4370528726	0.5599919543
110	0.4368814317	0.5597949759
111	0.4367356378	0.559615808
112	0.4364983971	0.5593758372
113	0.436288705	0.5591642079
114	0.4361591941	0.5590092916
115	0.4359860245	0.558848365
116	0.4357825707	0.5586247245
117	0.4356517551	0.5584965075
118	0.435516694	0.5583413174
119	0.4353112865	0.5581321115
120	0.4351446708	0.5579400941
121	0.4349494086	0.557752135
122	0.4347910706	0.557565358
123	0.4346124887	0.5573890017
124	0.4344245356	0.5572047273
125	0.4342550561	0.557063033
126	0.4341033743	0.5569091159
127	0.4340154053	0.5568007601
128	0.4338907661	0.5566584511
129	0.4337764656	0.5565281173
130	0.4336076444	0.5563780622
131	0.4334903618	0.5562417006
132	0.4333732122	0.5561163789
133	0.4332717578	0.5560157356
134	0.4331897643	0.5559220189
135	0.4330805322	0.5558126259
136	0.4329939248	0.5557102867
137	0.4328902522	0.5555840667
138	0.4327845136	0.5554551902
139	0.4326963392	0.5553431192
140	0.4325274923	0.5551714758
141	0.4324094183	0.5550484306
142	0.4322976008	0.5549167498
143	0.4321638989	0.554766483
144	0.432046138	0.5546034524
145	0.43189259	0.5544225859
146	0.4317960049	0.5543122973
147	0.4317179664	0.5542296848
148	0.4316204233	0.5541030568
149	0.4315047327	0.5539611025
150	0.4314288771	0.553867003
151	0.4313153165	0.5537409033
152	0.4312439618	0.5536589608
153	0.4310556915	0.5534779256
154	0.4309073083	0.5532906176
155	0.4308175821	0.5532008797
156	0.4307248335	0.5530963023
157	0.4306780926	0.5530331038
158	0.4305988945	0.5529496825
159	0.4305230696	0.55286467
160	0.4304728075	0.5528019353
161	0.4303915619	0.5527241621
162	0.4303016802	0.5525992907
163	0.4302205898	0.552501489
164	0.4301117361	0.5523872654
165	0.4299686909	0.5522457578
